"Date","Rate"
Jan 1987,5.43
Feb 1987,5.59
Mar 1987,5.59
Apr 1987,5.64
May 1987,5.66
Jun 1987,5.67
Jul 1987,5.69
Aug 1987,6.04
Sep 1987,6.4
Oct 1987,6.13
Nov 1987,5.69
Dec 1987,5.77
Jan 1988,5.81
Feb 1988,5.66
Mar 1988,5.7
Apr 1988,5.91
May 1988,6.26
Jun 1988,6.46
Jul 1988,6.73
Aug 1988,7.06
Sep 1988,7.24
Oct 1988,7.35
Nov 1988,7.76
Dec 1988,8.07
Jan 1989,8.27
Feb 1989,8.53
Mar 1989,8.82
Apr 1989,8.65
May 1989,8.43
Jun 1989,8.15
Jul 1989,7.88
Aug 1989,7.9
Sep 1989,7.75
Oct 1989,7.64
Nov 1989,7.69
Dec 1989,7.63
Jan 1990,7.64
Feb 1990,7.74
Mar 1990,7.9
Apr 1990,7.77
May 1990,7.74
Jun 1990,7.73
Jul 1990,7.62
Aug 1990,7.45
Sep 1990,7.36
Oct 1990,7.17
Nov 1990,7.06
Dec 1990,6.74
Jan 1991,6.22
Feb 1991,5.94
Mar 1991,5.91
Apr 1991,5.65
May 1991,5.46
Jun 1991,5.57
Jul 1991,5.58
Aug 1991,5.33
Sep 1991,5.22
Oct 1991,4.99
Nov 1991,4.56
Dec 1991,4.07
Jan 1992,3.8
Feb 1992,3.84
Mar 1992,4.04
Apr 1992,3.75
May 1992,3.63
Jun 1992,3.66
Jul 1992,3.21
Aug 1992,3.13
Sep 1992,2.91
Oct 1992,2.86
Nov 1992,3.13
Dec 1992,3.22
Jan 1993,3
Feb 1993,2.93
Mar 1993,2.95
Apr 1993,2.87
May 1993,2.96
Jun 1993,3.07
Jul 1993,3.04
Aug 1993,3.02
Sep 1993,2.95
Oct 1993,3.02
Nov 1993,3.1
Dec 1993,3.06
Jan 1994,2.98
Feb 1994,3.25
Mar 1994,3.5
Apr 1994,3.68
May 1994,4.14
Jun 1994,4.14
Jul 1994,4.33
Aug 1994,4.48
Sep 1994,4.62
Oct 1994,4.95
Nov 1994,5.29
Dec 1994,5.6
Jan 1995,5.71
Feb 1995,5.77
Mar 1995,5.73
Apr 1995,5.65
May 1995,5.67
Jun 1995,5.47
Jul 1995,5.42
Aug 1995,5.4
Sep 1995,5.28
Oct 1995,5.28
Nov 1995,5.36
Dec 1995,5.14
Jan 1996,5
Feb 1996,4.83
Mar 1996,4.96
Apr 1996,4.95
May 1996,5.02
Jun 1996,5.09
Jul 1996,5.15
Aug 1996,5.05
Sep 1996,5.09
Oct 1996,4.99
Nov 1996,5.03
Dec 1996,4.91
Jan 1997,5.03
Feb 1997,5.01
Mar 1997,5.14
Apr 1997,5.16
May 1997,5.05
Jun 1997,4.93
Jul 1997,5.05
Aug 1997,5.14
Sep 1997,4.95
Oct 1997,4.97
Nov 1997,5.14
Dec 1997,5.16
Jan 1998,5.04
Feb 1998,5.09
Mar 1998,5.03
Apr 1998,4.95
May 1998,5
Jun 1998,4.98
Jul 1998,4.96
Aug 1998,4.9
Sep 1998,4.61
Oct 1998,3.96
Nov 1998,4.41
Dec 1998,4.39
Jan 1999,4.34
Feb 1999,4.44
Mar 1999,4.44
Apr 1999,4.29
May 1999,4.5
Jun 1999,4.57
Jul 1999,4.55
Aug 1999,4.72
Sep 1999,4.68
Oct 1999,4.86
Nov 1999,5.07
Dec 1999,5.2
Jan 2000,5.32
Feb 2000,5.55
Mar 2000,5.69
Apr 2000,5.66
May 2000,5.79
Jun 2000,5.69
Jul 2000,5.96
Aug 2000,6.09
Sep 2000,6
Oct 2000,6.11
Nov 2000,6.17
Dec 2000,5.77
Jan 2001,5.15
Feb 2001,4.88
Mar 2001,4.42
Apr 2001,3.87
May 2001,3.62
Jun 2001,3.49
Jul 2001,3.51
Aug 2001,3.36
Sep 2001,2.64
Oct 2001,2.16
Nov 2001,1.87
Dec 2001,1.69
Jan 2002,1.65
Feb 2002,1.73
Mar 2002,1.79
Apr 2002,1.72
May 2002,1.73
Jun 2002,1.7
Jul 2002,1.68
Aug 2002,1.62
